hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,0,47,2016,February,8,18,0,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,90.3,0,0,Check-Out,21-02-2016,Aaron Saunders MD,AMD@aol.com,272-215-2916,************8751
City Hotel,0,237,2015,September,38,14,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,80.75,0,0,Check-Out,17-09-2015,David Turner,David_T@comcast.net,311-041-2335,************5189
City Hotel,0,31,2016,September,40,27,0,1,2,0,0,BB,UGA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,126,0,0,Check-Out,28-09-2016,Adam Reyes,Adam.R@comcast.net,961-368-8336,************2745
City Hotel,0,158,2016,July,27,1,1,2,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,168.3,0,1,Check-Out,04-07-2016,Danielle Wolfe,Danielle.W@att.com,131-807-9876,************5345
City Hotel,0,25,2016,December,51,13,0,4,1,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,79.9,0,1,Check-Out,17-12-2016,Pamela Matthews,Matthews_Pamela@mail.com,499-731-5410,************9328
City Hotel,0,386,2016,October,44,23,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient-Party,115,0,1,Check-Out,25-10-2016,Angela Stewart,Angela_S@att.com,604-001-0572,************8550
Resort Hotel,0,10,2016,September,38,13,0,2,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,109,0,0,Check-Out,15-09-2016,Patrick Harris,Patrick_Harris@outlook.com,186-154-9393,************3460
City Hotel,0,76,2016,March,13,20,2,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,110.15,0,1,Check-Out,25-03-2016,Edward Perkins,Edward.P24@zoho.com,149-720-6566,************1066
City Hotel,0,42,2017,April,16,21,1,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,156.67,0,2,Check-Out,24-04-2017,Melissa Hayes,MelissaHayes87@yahoo.com,410-642-2537,************4731
Resort Hotel,1,210,2016,August,35,22,3,8,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,192.73,0,2,Canceled,15-02-2016,Andrew Banks,Andrew_Banks@zoho.com,584-359-6335,************2349
City Hotel,0,4,2016,June,27,26,2,0,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,113,0,1,Check-Out,28-06-2016,Brandon Benson,Benson_Brandon@xfinity.com,419-694-7466,************3126
City Hotel,0,33,2016,May,23,29,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,,0,Transient,85.5,0,0,Check-Out,01-06-2016,Dustin Wheeler,Wheeler.Dustin@yahoo.com,957-931-8739,************4371
City Hotel,0,7,2016,December,51,17,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,78,0,1,Check-Out,19-12-2016,Robert Griffin,Robert.Griffin@xfinity.com,971-011-9578,************1116
City Hotel,0,21,2015,December,51,17,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40,0,Transient-Party,65,0,0,Check-Out,19-12-2015,Samantha Pineda,Samantha_Pineda47@aol.com,845-862-1969,************3234
City Hotel,1,160,2015,December,53,30,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,111,Transient-Party,70,0,0,Canceled,23-12-2015,Autumn Dunlap MD,AutumnMD@gmail.com,843-820-3259,************4198
Resort Hotel,0,28,2016,May,21,19,2,5,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,79.9,0,2,Check-Out,26-05-2016,Sara Young,Young.Sara74@att.com,675-391-8701,************3855
City Hotel,1,274,2015,July,29,18,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,06-07-2015,Michael Coleman,Coleman_Michael12@outlook.com,399-167-4305,************4962
City Hotel,1,155,2017,July,29,17,1,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89.1,0,1,Canceled,08-03-2017,Zachary Mathews,Zachary_Mathews@yahoo.com,537-348-4261,************9922
Resort Hotel,1,48,2016,September,40,30,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,0,Canceled,14-08-2016,Jessica Hart,JessicaHart19@zoho.com,848-898-2512,************2193
Resort Hotel,0,25,2016,January,3,14,0,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,79,0,1,Check-Out,16-01-2016,Laura Herrera,Laura.Herrera@outlook.com,860-327-2824,************1648
Resort Hotel,0,154,2016,July,29,11,1,2,2,0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,327,,0,Transient,64.8,0,0,Check-Out,14-07-2016,Patricia Guzman,PGuzman77@yahoo.com,848-307-3960,************9556
City Hotel,1,1,2015,December,53,29,0,4,2,0,1,BB,PRT,Groups,TA/TO,0,0,0,B,B,2,No Deposit,29,,0,Transient,72.5,0,2,Canceled,29-12-2015,Shelly Morales,Shelly_Morales@mail.com,250-954-6595,************1492
City Hotel,1,364,2015,October,42,16,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,,0,Transient-Party,101.5,0,0,Canceled,06-07-2015,Arthur Cherry,Arthur_Cherry67@hotmail.com,487-652-4376,************6784
City Hotel,0,18,2016,December,51,11,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,378,,0,Transient-Party,80,0,0,Check-Out,12-12-2016,Deborah Steele,Deborah_Steele76@aol.com,259-455-3330,************9069
City Hotel,1,21,2017,January,1,2,1,3,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,90.1,0,2,Canceled,16-12-2016,Jennifer Kim,Jennifer_K35@zoho.com,262-122-3847,************7586
City Hotel,1,15,2017,February,7,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,,0,Transient,95,0,0,Canceled,02-02-2017,Madeline Lane,Lane.Madeline34@xfinity.com,420-913-6464,************1579
City Hotel,0,22,2017,March,11,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,,0,Transient,68,0,1,Check-Out,23-03-2017,Robert Ross,Robert.Ross97@zoho.com,188-443-9734,************8821
Resort Hotel,1,80,2017,August,34,26,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,135,0,1,Canceled,15-07-2017,Aaron Hall,Hall.Aaron@verizon.com,438-300-9723,************8001
City Hotel,1,25,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,,0,Transient,90,0,0,Canceled,17-11-2015,Stephen Hill,Hill_Stephen@zoho.com,233-610-7170,************9886
Resort Hotel,0,164,2015,November,46,9,2,5,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,61.2,1,0,Check-Out,16-11-2015,Eric Gibson,Eric_Gibson87@mail.com,494-186-3140,************1986
City Hotel,0,69,2016,May,20,14,2,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,159.3,0,1,Check-Out,17-05-2016,Donna Ingram,Ingram_Donna@yandex.com,816-190-9243,************9518
Resort Hotel,0,3,2016,May,21,20,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240,,0,Transient,89,0,0,Check-Out,22-05-2016,Kimberly Mejia,Kimberly.Mejia@comcast.net,294-152-6537,************9197
Resort Hotel,1,206,2016,March,13,21,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,42.69,0,1,Canceled,31-08-2015,Lauren Jackson,LaurenJackson@att.com,956-945-9419,************2780
City Hotel,1,157,2017,May,18,1,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,130,0,0,Canceled,25-11-2016,Bryan Lee,Bryan_Lee@att.com,192-313-4955,************5678
City Hotel,0,30,2016,May,21,21,2,2,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,,0,Transient,133.58,0,0,Check-Out,25-05-2016,Samantha Galloway,Galloway.Samantha33@mail.com,745-486-4902,************7828
City Hotel,0,1,2017,May,19,9,0,1,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,,0,Transient,95,0,0,Check-Out,10-05-2017,Kyle Contreras,Kyle.C@verizon.com,179-262-1253,************3565
Resort Hotel,0,32,2016,April,17,19,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273,,0,Transient-Party,38.22,0,0,Check-Out,26-04-2016,Dylan Moran,Dylan.Moran@hotmail.com,146-226-8962,************9492
Resort Hotel,0,53,2016,June,24,7,0,2,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,129,0,1,Check-Out,09-06-2016,Bryan Brown,Bryan_Brown@protonmail.com,417-637-3312,************3396
Resort Hotel,1,246,2015,September,36,5,2,5,2,0,0,BB,,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,96,,0,Transient-Party,58.95,0,0,Canceled,17-06-2015,Melissa Mitchell,MMitchell@yahoo.com,520-215-2769,************1450
City Hotel,1,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,,0,Transient,89,0,0,Canceled,01-02-2016,Bobby Rose,BRose52@outlook.com,528-435-4160,************3932
City Hotel,0,127,2017,July,30,25,0,3,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,,0,Transient,98.1,0,0,Check-Out,28-07-2017,Adam Robinson,ARobinson@outlook.com,178-537-9950,************8749
Resort Hotel,0,0,2017,January,3,17,0,1,1,0,0,BB,ESP,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,57,0,0,Check-Out,18-01-2017,Timothy Long,TimothyLong@protonmail.com,505-157-6064,************3617
City Hotel,1,113,2016,September,37,7,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient,118.8,0,0,Canceled,23-05-2016,Rachel Lawson,Rachel.Lawson@mail.com,733-024-7165,************6521
City Hotel,0,272,2017,July,28,12,0,3,2,2,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9,,0,Transient-Party,179.1,0,2,Check-Out,15-07-2017,Adam Scott,Scott_Adam@comcast.net,253-371-3531,************4376
City Hotel,1,11,2016,November,45,5,0,1,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,150,0,1,Canceled,28-10-2016,Lisa Brown,Lisa.B69@mail.com,404-502-6851,************6662
City Hotel,1,98,2015,November,48,23,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37,,0,Transient-Party,70,0,0,No-Show,23-11-2015,Joanna Poole,Poole.Joanna69@mail.com,341-892-6481,************2247
City Hotel,1,292,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient-Party,62,0,0,Canceled,02-07-2015,Felicia Nelson,Felicia.Nelson@zoho.com,124-436-1603,************8879
City Hotel,0,16,2016,December,50,4,2,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,118.8,0,1,Check-Out,06-12-2016,Kelsey Lee,KelseyLee@att.com,995-896-6250,************9573
City Hotel,0,70,2016,April,17,22,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,97.33,0,0,Check-Out,26-04-2016,Carla Estrada,Estrada_Carla@att.com,626-955-0256,************8029
Resort Hotel,1,49,2015,July,30,20,3,6,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,111.2,0,0,Canceled,01-06-2015,Taylor Pope,Pope.Taylor@yandex.com,390-427-4123,************1768
City Hotel,1,379,2015,October,44,31,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,23-07-2015,Christian Reeves,CReeves@yandex.com,251-557-1587,************7176
Resort Hotel,1,289,2017,July,30,25,0,4,2,1,0,BB,AUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,172.8,0,0,Canceled,19-04-2017,Kristen King,Kristen.King85@comcast.net,568-391-5557,************3737
Resort Hotel,1,108,2016,April,18,29,2,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,84,0,0,Canceled,12-02-2016,Taylor Franklin,TaylorFranklin@gmail.com,846-056-4524,************3658
Resort Hotel,0,128,2016,December,50,8,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,36.04,0,2,Check-Out,11-12-2016,Christopher Hardy,Hardy_Christopher@zoho.com,354-206-1965,************9961
Resort Hotel,0,18,2016,April,15,9,2,3,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,33.3,0,0,Check-Out,14-04-2016,Todd Wallace,Todd.Wallace@yahoo.com,352-300-8087,************9715
Resort Hotel,1,46,2017,August,32,12,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261,,0,Transient,212,0,0,Canceled,12-07-2017,Angela Taylor,Taylor.Angela@verizon.com,525-253-3358,************2980
City Hotel,0,4,2015,August,33,11,0,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,90,0,2,Check-Out,16-08-2015,James Evans,JamesEvans17@gmail.com,549-107-3052,************1378
City Hotel,1,332,2017,April,16,22,1,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,125.1,0,0,Canceled,07-06-2016,Catherine Howard,Catherine.H49@verizon.com,949-208-9922,************4934
City Hotel,0,28,2017,February,7,13,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,75,0,0,Check-Out,16-02-2017,Joshua Matthews,Matthews_Joshua95@mail.com,970-632-1605,************6277
Resort Hotel,0,1,2015,October,42,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,66,0,1,Check-Out,14-10-2015,Roy Walker,Roy_Walker@xfinity.com,165-214-1163,************8099
City Hotel,0,53,2015,October,41,9,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,94.5,0,0,Check-Out,12-10-2015,Michael Walker,Walker.Michael@outlook.com,483-494-9868,************3277
Resort Hotel,1,260,2015,December,52,20,4,9,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,47.54,0,1,Canceled,24-08-2015,William Massey,William_M@gmail.com,176-074-9597,************8811
Resort Hotel,0,166,2016,August,35,27,2,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient-Party,100.8,0,0,Check-Out,31-08-2016,Jon Rios,Jon_Rios@att.com,431-414-1372,************7122
City Hotel,0,76,2017,July,29,16,2,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,108,0,0,Check-Out,21-07-2017,Nichole Evans,Nichole_Evans@verizon.com,167-800-6047,************8519
City Hotel,0,1,2015,August,33,9,1,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,153,0,2,Check-Out,10-08-2015,David Delgado,David.D@gmail.com,171-969-1833,************6091
City Hotel,0,172,2017,April,15,13,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,153,0,2,Check-Out,16-04-2017,Jake Daniels,Jake.D@aol.com,822-055-0227,************5994
City Hotel,0,2,2016,March,13,20,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220,,0,Transient-Party,85,0,0,Check-Out,26-03-2016,Ernest Bryant,ErnestBryant73@xfinity.com,282-051-2608,************1760
Resort Hotel,0,4,2017,June,23,6,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146,,0,Transient,108,0,2,Check-Out,09-06-2017,Sydney Villa,SVilla@att.com,547-956-4339,************5732
City Hotel,0,175,2017,August,35,31,1,3,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42,,0,Transient,86.85,0,2,Check-Out,04-09-2017,Jim Anderson,JimAnderson@yandex.com,314-015-9640,************2821
City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,03-07-2015,Andrea Rivera,Andrea.Rivera67@mail.com,834-570-3718,************2447
Resort Hotel,0,2,2015,October,41,9,0,1,1,0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,,86,0,Transient,48,0,0,Check-Out,10-10-2015,Ethan Stephens,EStephens54@zoho.com,881-547-4844,************4975
Resort Hotel,0,8,2015,July,28,7,0,4,3,2,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240,,0,Transient,193,0,1,Check-Out,11-07-2015,Virginia Jones,Jones.Virginia@zoho.com,554-132-9279,************2645
